transaction_id,source_id,account_id,transaction_date,amount,currency,transaction_type,merchant_name,merchant_category,status,country_code,natural_key_hash,is_duplicate,duplicate_of,ingestion_timestamp,ingestion_run_id
TXN-0001,671,ACC-1008,2024-02-20T11:40:23Z,361.76,USD,debit,Freelance Income,payroll,completed,NL,7291076d6c68ea5cf8b991fc541fe249,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0002,553,ACC-1017,2024-01-14T10:46:55Z,5292.35,EUR,credit,SEPA Payroll,payroll,pending,DE,a12db5c54ec983f6f96d1b0ec53cf441,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0003,399,ACC-1012,2024-02-09T13:28:44Z,7109.53,CAD,credit,Uber,transportation,pending,US,9082e3f312c758034d527411cc453a3a,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0004,541,ACC-1001,2024-02-23T07:51:01Z,6456.22,EUR,credit,Lufthansa,travel,completed,DE,83fc36c66e5a2df75a8b12f3be9d1d22,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0005,498,ACC-1014,2024-03-05T04:03:07Z,118.62,USD,debit,Deliveroo,food_and_beverage,completed,GB,25fb639246801d1501607396c5e8297b,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0006,359,ACC-1007,2024-01-02T10:47:47Z,675.68,USD,debit,AMC Theaters,entertainment,completed,US,e2033a42fce31a88601f9beb39ba2951,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0007,362,ACC-1011,2024-03-30T16:40:14Z,6028.33,GBP,credit,Lufthansa,travel,completed,DE,f31dfa76b293e62c0d61abfa640733e8,0,,2026-09-12T17:48:56Z,run-20260912T174856-4972d8
TXN-0008,638,ACC-1019,2024-03-18T07:28:30Z,6207.84,USD,credit,Best Buy,electronics,completed,US,29e924ba0baf145047c888afe030b585,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0009,609,ACC-1006,2024-02-16T10:47:35Z,150.64,USD,debit,Shell Gas,transportation,completed,US,2230125cf70f5710db6206f0c287581a,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0010,465,ACC-1003,2024-01-06T08:30:39Z,147.05,USD,debit,SEPA Payroll,payroll,pending,DE,b8f34d8e93249743a7f0920eddfb2709,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0011,439,ACC-1020,2024-02-02T12:14:09Z,4257.96,USD,debit,AMC Theaters,entertainment,completed,US,a64f72c4063f2a088e5faa4797314576,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0012,518,ACC-1009,2024-01-08T18:39:24Z,2414.97,USD,credit,Amazon,e-commerce,completed,US,84e9f4eb0120731a41fb0c49fc919e98,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0013,576,ACC-1006,2024-03-24T18:41:57Z,5073.34,USD,credit,Home Depot,home_and_garden,completed,US,07f468b6c30994113369cbd7cb495cc1,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0014,698,ACC-1002,2024-03-11T20:58:05Z,3010.05,EUR,credit,Waitrose,groceries,completed,GB,05af6d6a2dd984a1e2a3225934338ecf,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0015,586,ACC-1020,2024-01-28T07:56:41Z,13.44,CHF,debit,BACS Credit,payroll,completed,GB,acd552396d974f0717bed7cfc68c134c,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0016,487,ACC-1005,2024-02-27T21:30:27Z,1183.83,GBP,credit,Walgreens,health,completed,US,1ae094b359f250e33a80f7f7550187ed,0,,2026-09-12T17:48:55Z,run-20260912T174851-c807d7
TXN-0017,522,ACC-1016,2024-03-30T14:20:49Z,3137.34,GBP,credit,Rakuten,e-commerce,completed,JP,a02b502eec0882d624af343dcf90e6ff,0,,2026-09-12T17:48:56Z,run-20260912T174856-4972d8
