account_id,transaction_date,total_debit_amount,total_credit_amount,net_amount,transaction_count,distinct_merchants,top_category,currencies,updated_at
ACC-1001,2024-01-06,116.41,0.0,-116.41,2,2,transportation,GBP,2026-09-13T15:32:07Z
ACC-1001,2024-01-28,2204.95,0.0,-2204.95,1,1,travel,USD,2026-09-13T15:32:07Z
ACC-1001,2024-02-03,41.05,0.0,-41.05,1,1,transfer,USD,2026-09-13T15:32:07Z
ACC-1001,2024-02-17,532.6,0.0,-532.6,1,1,retail,USD,2026-09-13T15:32:07Z
ACC-1001,2024-02-20,110.38,0.0,-110.38,1,1,electronics,USD,2026-09-13T15:32:07Z
ACC-1001,2024-02-23,0.0,6456.22,6456.22,1,1,,EUR,2026-09-13T15:32:07Z
ACC-1001,2024-02-25,130.49,0.0,-130.49,1,1,transfer,GBP,2026-09-13T15:32:07Z
ACC-1001,2024-03-08,150.71,0.0,-150.71,1,1,transportation,EUR,2026-09-13T15:32:07Z
ACC-1001,2024-03-09,759.76,0.0,-759.76,1,1,home_and_garden,CHF,2026-09-13T15:32:07Z
ACC-1001,2024-03-14,4568.75,0.0,-4568.75,1,1,food_and_beverage,CAD,2026-09-13T15:32:07Z
ACC-1001,2024-03-29,136.43,0.0,-136.43,1,1,electronics,USD,2026-09-13T15:32:07Z
ACC-1002,2024-01-11,24.54,0.0,-24.54,1,1,travel,USD,2026-09-13T15:32:07Z
ACC-1002,2024-01-23,3058.83,0.0,-3058.83,1,1,transfer,USD,2026-09-13T15:32:07Z
ACC-1002,2024-02-02,135.66,0.0,-135.66,1,1,health,USD,2026-09-13T15:32:07Z
ACC-1002,2024-02-03,536.67,0.0,-536.67,1,1,retail,USD,2026-09-13T15:32:07Z
ACC-1002,2024-02-09,3191.46,0.0,-3191.46,1,1,home_and_garden,USD,2026-09-13T15:32:07Z
ACC-1002,2024-02-12,143.6,0.0,-143.6,1,1,payroll,EUR,2026-09-13T15:32:07Z
ACC-1002,2024-02-13,776.6,0.0,-776.6,1,1,groceries,USD,2026-09-13T15:32:07Z
ACC-1002,2024-03-11,0.0,3010.05,3010.05,1,1,,EUR,2026-09-13T15:32:07Z
ACC-1002,2024-03-13,175.41,0.0,-175.41,2,2,payroll,USD,2026-09-13T15:32:07Z
ACC-1003,2024-01-04,11.58,0.0,-11.58,1,1,electronics,JPY,2026-09-13T15:32:07Z
ACC-1003,2024-01-14,1104.45,0.0,-1104.45,1,1,transportation,USD,2026-09-13T15:32:07Z
ACC-1003,2024-01-16,474.79,0.0,-474.79,1,1,entertainment,EUR,2026-09-13T15:32:07Z
ACC-1003,2024-02-02,0.0,254.41,254.41,1,1,,EUR,2026-09-13T15:32:07Z
ACC-1003,2024-02-04,3002.62,0.0,-3002.62,1,1,food_and_beverage,EUR,2026-09-13T15:32:07Z
ACC-1003,2024-02-15,464.76,9608.42,9143.66,3,3,transfer,"CAD,GBP,USD",2026-09-13T15:32:07Z
ACC-1003,2024-02-20,43.05,0.0,-43.05,1,1,electronics,USD,2026-09-13T15:32:07Z
ACC-1003,2024-02-28,775.51,0.0,-775.51,1,1,travel,USD,2026-09-13T15:32:07Z
ACC-1003,2024-03-08,449.85,0.0,-449.85,1,1,travel,USD,2026-09-13T15:32:07Z
ACC-1003,2024-03-09,0.0,6741.72,6741.72,1,1,,USD,2026-09-13T15:32:07Z
ACC-1003,2024-03-21,4336.9,0.0,-4336.9,1,1,e-commerce,USD,2026-09-13T15:32:07Z
ACC-1003,2024-03-24,0.0,5858.31,5858.31,1,1,,USD,2026-09-13T15:32:07Z
ACC-1003,2024-03-26,0.0,4083.02,4083.02,1,1,,USD,2026-09-13T15:32:07Z
ACC-1004,2024-01-07,119.18,0.0,-119.18,1,1,home_and_garden,USD,2026-09-13T15:32:07Z
ACC-1004,2024-01-22,2214.61,0.0,-2214.61,1,1,electronics,USD,2026-09-13T15:32:07Z
ACC-1004,2024-01-26,22.77,0.0,-22.77,1,1,electronics,GBP,2026-09-13T15:32:07Z
ACC-1004,2024-02-07,0.0,4492.5,4492.5,1,1,,EUR,2026-09-13T15:32:07Z
ACC-1004,2024-02-14,0.0,6253.38,6253.38,1,1,,USD,2026-09-13T15:32:07Z
ACC-1004,2024-02-17,450.97,0.0,-450.97,1,1,transportation,JPY,2026-09-13T15:32:07Z
ACC-1004,2024-02-19,131.53,0.0,-131.53,1,1,electronics,JPY,2026-09-13T15:32:07Z
ACC-1004,2024-02-28,587.73,0.0,-587.73,1,1,transfer,GBP,2026-09-13T15:32:07Z
ACC-1004,2024-03-18,229.71,0.0,-229.71,1,1,electronics,USD,2026-09-13T15:32:07Z
ACC-1004,2024-03-19,92.43,0.0,-92.43,1,1,payroll,USD,2026-09-13T15:32:07Z
ACC-1004,2024-03-23,856.89,0.0,-856.89,1,1,retail,USD,2026-09-13T15:32:07Z
ACC-1005,2024-01-01,0.0,4070.01,4070.01,1,1,,USD,2026-09-13T15:32:07Z
ACC-1005,2024-01-10,318.94,0.0,-318.94,1,1,transportation,USD,2026-09-13T15:32:07Z
ACC-1005,2024-01-12,0.0,453.78,453.78,1,1,,EUR,2026-09-13T15:32:07Z
ACC-1005,2024-01-21,1889.3,0.0,-1889.3,1,1,retail,USD,2026-09-13T15:32:07Z
ACC-1005,2024-01-22,2743.76,0.0,-2743.76,1,1,e-commerce,USD,2026-09-13T15:32:07Z
ACC-1005,2024-01-28,108.35,0.0,-108.35,1,1,travel,GBP,2026-09-13T15:32:07Z
ACC-1005,2024-02-14,0.0,3023.35,3023.35,1,1,,CHF,2026-09-13T15:32:07Z
ACC-1005,2024-02-17,92.31,0.0,-92.31,1,1,travel,USD,2026-09-13T15:32:07Z
ACC-1005,2024-02-18,0.0,838.94,838.94,1,1,,USD,2026-09-13T15:32:07Z
ACC-1005,2024-02-27,0.0,1183.83,1183.83,1,1,,GBP,2026-09-13T15:32:07Z
