account_id,transaction_date,total_debit_amount,total_credit_amount,net_amount,transaction_count,distinct_merchants,top_category,currencies,updated_at
ACC-1001,2024-01-06,116.41,0.00,-116.41,2,2,transportation,GBP,2026-09-18 04:17:43.226021+00:00
ACC-1001,2024-01-28,2204.95,0.00,-2204.95,1,1,travel,USD,2026-09-18 04:17:43.226021+00:00
ACC-1001,2024-02-03,41.05,0.00,-41.05,1,1,transfer,USD,2026-09-18 04:17:43.226021+00:00
ACC-1001,2024-02-17,532.60,0.00,-532.60,1,1,retail,USD,2026-09-18 04:17:43.226021+00:00
ACC-1001,2024-02-20,110.38,0.00,-110.38,1,1,electronics,USD,2026-09-18 04:17:43.226021+00:00
ACC-1001,2024-02-23,0.00,6456.22,6456.22,1,1,,EUR,2026-09-18 04:17:43.226021+00:00
ACC-1001,2024-02-25,130.49,0.00,-130.49,1,1,transfer,GBP,2026-09-18 04:17:43.226021+00:00
ACC-1001,2024-03-08,150.71,0.00,-150.71,1,1,transportation,EUR,2026-09-18 04:17:43.226021+00:00
ACC-1001,2024-03-09,759.76,0.00,-759.76,1,1,home_and_garden,CHF,2026-09-18 04:17:43.226021+00:00
ACC-1001,2024-03-14,4568.75,0.00,-4568.75,1,1,food_and_beverage,CAD,2026-09-18 04:17:43.226021+00:00
ACC-1001,2024-03-29,136.43,0.00,-136.43,1,1,electronics,USD,2026-09-18 04:17:43.226021+00:00
ACC-1002,2024-01-11,24.54,0.00,-24.54,1,1,travel,USD,2026-09-18 04:17:43.226021+00:00
ACC-1002,2024-01-23,3058.83,0.00,-3058.83,1,1,transfer,USD,2026-09-18 04:17:43.226021+00:00
ACC-1002,2024-02-02,135.66,0.00,-135.66,1,1,health,USD,2026-09-18 04:17:43.226021+00:00
ACC-1002,2024-02-03,536.67,0.00,-536.67,1,1,retail,USD,2026-09-18 04:17:43.226021+00:00
ACC-1002,2024-02-09,3191.46,0.00,-3191.46,1,1,home_and_garden,USD,2026-09-18 04:17:43.226021+00:00
ACC-1002,2024-02-12,143.60,0.00,-143.60,1,1,payroll,EUR,2026-09-18 04:17:43.226021+00:00
ACC-1002,2024-02-13,776.60,0.00,-776.60,1,1,groceries,USD,2026-09-18 04:17:43.226021+00:00
ACC-1002,2024-03-11,0.00,3010.05,3010.05,1,1,,EUR,2026-09-18 04:17:43.226021+00:00
ACC-1002,2024-03-13,175.41,0.00,-175.41,2,2,payroll,USD,2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-01-04,11.58,0.00,-11.58,1,1,electronics,JPY,2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-01-14,1104.45,0.00,-1104.45,1,1,transportation,USD,2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-01-16,474.79,0.00,-474.79,1,1,entertainment,EUR,2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-02-02,0.00,254.41,254.41,1,1,,EUR,2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-02-04,3002.62,0.00,-3002.62,1,1,food_and_beverage,EUR,2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-02-15,464.76,9608.42,9143.66,3,3,transfer,"GBP,USD,CAD",2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-02-20,43.05,0.00,-43.05,1,1,electronics,USD,2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-02-28,775.51,0.00,-775.51,1,1,travel,USD,2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-03-08,449.85,0.00,-449.85,1,1,travel,USD,2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-03-09,0.00,6741.72,6741.72,1,1,,USD,2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-03-21,4336.90,0.00,-4336.90,1,1,e-commerce,USD,2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-03-24,0.00,5858.31,5858.31,1,1,,USD,2026-09-18 04:17:43.226021+00:00
ACC-1003,2024-03-26,0.00,4083.02,4083.02,1,1,,USD,2026-09-18 04:17:43.226021+00:00
ACC-1004,2024-01-07,119.18,0.00,-119.18,1,1,home_and_garden,USD,2026-09-18 04:17:43.226021+00:00
